url,reviews,summary
https://www.angi.com/companylist/us/tx/argyle/texas-house-detectives-reviews-7999829.htm,Although most of the issues were not safety concerns and were not issues that had to be fixed before moving into the house having his detailed inspection report gave us peace of mind that we were not likely to have surprises in the first year of ownership and it gave us a wonderful bargaining tool to negotiate the price of the repairs off of the home's selling price. I can't say enough about this inspector I am so grateful! As it turned out the owners were unwilling to reduce the price of the home or make the repairs and we had to walk away from the deal. The inspector saved us from walking into something unprepared and made me realize that if I ever sell a home I will have the home inspected before I put it on the market so that I can know what the issues are that need to be resolved before it goes into negotiation with the buyer! I would highly highly recommend this inspector!!,Most of the issues were not safety concerns and were not issues that had to be fixed before moving into the house. Having his detailed inspection report gave us peace of mind that we were not likely to have surprises in the first year of ownership. It gave us a wonderful bargaining tool to negotiate the price of the repairs off of the home's selling price.
,I am very pleased with the quality of work. My handyman was very friendly professional and extremely knowledgeable. He communicated very well and took the time to explain to me exactly what he was going to do and how he was going to do it. He took great care and pride to do the job right. He was a real pleasure to work with. He cleaned up after himself and made sure that everything was put back the way he found it. His price was very fair and I even gave him a little more because I thought he deserved it. I will definitely be using this pro's services for all projects in the future.,I am very pleased with the quality of work. My handyman was very friendly professional and extremely knowledgeable. He took great care and pride to do the job right. He cleaned up after himself and made sure that everything was put back the way he found it.
https://www.angi.com/companylist/us/md/rosedale/that-kitchen-place-reviews-313341.htm,Working with a designer is definitely the way to go. Deb has so much experience and made so many dreams come true that all the tidbits she shared made all the difference from my having a cookie cutter big box store kitchen to one that's a showplace and a dream to work in... at the end of the day I feel I got much more than I paid for. The kitchen is everything I'd hoped for and more... I feel like I have had a knowledgeable friend by my side throughout this entire redo. I had someone who understood how the little things can make one crazy. Deb worked tirelessly to get everything perfect. (and so did her crew),"""I feel I got much more than I paid for. The kitchen is everything I'd hoped for and more"" ""I had someone who understood how the little things can make one crazy"" ""Deb worked tirelessly to get everything perfect"""
https://www.angi.com/companylist/us/md/bethesda/marvel-homes-llc-reviews-2040169.htm,I was blown away by the experience of working with someone who is honest down to his bones cares about the quality of his work down to the smallest details is a phenomenally good carpenter with a small crew of stellar hard-working people he trained himself was spot-on with every time estimate and cost estimate - and for all of this is relaxed and warm at the same time.,"""I was blown away by the experience of working with someone who is honest down to his bones cares about the quality of his work down to the smallest details,"" says writer. ""He trained himself was spot-on with every time estimate and cost estimate - and for all of this is relaxed and warm at the same time"""
https://www.angi.com/companylist/us/or/beaverton/alex-freddi-construction-llc-reviews-247539.htm,Having someone with extensive work experience and knowledge in the area helped us tremendously as this was our first big remodel project. Alex walked us through the process provided detailed documentation on what to expect how to prepare for the remodel and patiently answered our (endless) questions before the remodel began.,Having someone with extensive work experience and knowledge in the area helped us tremendously as this was our first big remodel project. Alex walked us through the process provided detailed documentation on what to expect how to prepare for the remodel.
https://www.angi.com/companylist/us/fl/maitland/my-handy-craftsman-inc-reviews-6187996.htm,Excellent service excellent work and since there was time left over he started looking around for things he could help with...and found some! He sealed my shower and fixed the drywall where the water from the shower had leaked and bubbled the drywall and he repaired some siding that was slipping at the front of my house. I really appreciated his punctuality efficiency and professionalism. I would use them again. Actually I am accruing a whole list of chores for next time!,He sealed my shower and fixed the drywall where the water from the shower had leaked. I really appreciated his punctuality efficiency and professionalism. I would use them again. Actually I am accruing a whole list of chores for next time!
https://www.angi.com/companylist/us/ny/penfield/observant-home-inspection-llc-reviews-8003975.htm,The inspector took me along during the inspection. He showed me what he was inspecting and explained any findings. Along the way he took the opportunity to point out various utility shut-offs. He identified and explained safety concerns he found as well. The inspection was quite thorough taking a little over two hours. A comprehensive report complete with many included photographs was provided later the same day. The service was well worth the cost.,The inspector took me along during the inspection. He showed me what he was inspecting and explained any findings. Along the way he took the opportunity to point out various utility shut-offs. The inspection was quite thorough taking a little over two hours.
https://www.angi.com/companylist/us/tx/magnolia/houston-inspections-reviews-7513126.htm,"Outstanding. Highest possible recommendation. I accompanied Shawn on the inspection. He was extremely thorough and professional. He found several significant defects that would have been very expensive to remediate post-drywall as well as a large number of ""punchlist"" type items a number of which could have been significant if they had not been fixed at this stage of construction. The fee was reasonable and paid for itself several times over with the repairs that were made.",Shawn was extremely thorough and professional. He found several significant defects that would have been very expensive to remediate post-drywall. The fee was reasonable and paid for itself several times over with the repairs that were made.
https://www.angi.com/companylist/us/fl/cooper-city/hi-safety-first-corp-reviews-3751025.htm,David met my husband at the house. He walked my husband through the entire inspection. He identified some very costly repairs. He had all the necessary equipment to test for moisture and thermal heat. He explained everything to my husband that was found and was very professional. He also brought in a roofing specialist and a specialist for termites. Once he completed the inspection he sent us a report that included details about what he found and pictures.,David met my husband at the house. He walked my husband through the entire inspection. He identified some very costly repairs. He explained everything to my husband that was found. He also brought in a roofing specialist and a specialist for termites.
https://www.angi.com/companylist/us/ny/churchville/schultz-and-sons-contracting-reviews-7459640.htm,Always my first phone call when something goes wrong... Which it always does in a new house. Can't recommend them enough. They are polite attentive always ready to answer questions during the process and are very good at explaining what needs to be done and why to fix the problem. They are always sensitive to what the repair or project will cost and check in to make sure I'm comfortable with repair/materials costs. Completely trustworthy. I'm relieved I found them after purchasing my new home.,Always my first phone call when something goes wrong... Which it always does in a new house. They are polite attentive always ready to answer questions during the process and are very good at explaining what needs to be done.
